poiid,station_name,pointx,pointy,ccode,station_score_normalized,trans_lines_normalized,platform_normalized,final_score
2199026966666,九龙湖,117.187982,34.285323,320300,0.4444444444444444,0.0,0.0,0.08888888888888889
2199026966667,奔腾大道,117.19136,34.295779,320300,0.33333333333333326,0.0,0.0,0.06666666666666665
2199026966668,九里山,117.192397,34.304402,320300,0.22222222222222232,0.0,0.0,0.04444444444444447
2199026966669,李沃,117.192407,34.318894,320300,0.11111111111111116,0.0,0.0,0.022222222222222233
2199026966670,客运北站,117.188334,34.331402,320300,0.0,0.0,0.0,0.0
2199026966671,下淀,117.216489,34.283326,320300,0.0,0.0,0.0,0.0
2199026966672,白云山,117.211711,34.277294,320300,0.1428571428571428,0.0,0.0,0.02857142857142856
2199026966673,天桥,117.205048,34.258462,320300,0.4285714285714286,0.0,0.0,0.08571428571428573
2199026966674,和平大桥,117.205898,34.249712,320300,0.5714285714285714,0.0,0.0,0.11428571428571428
2199026966675,矿大文昌校区,117.19597,34.222994,320300,0.8571428571428572,0.0,0.0,0.17142857142857146
2199026966676,南三环路,117.194265,34.214117,320300,1.0,0.0,0.0,0.2
2199026966677,翟山,117.194202,34.202084,320300,1.0,0.0,0.0,0.2
2199026966678,师范大学,117.189908,34.194121,320300,0.8571428571428572,0.0,0.0,0.17142857142857146
2199026966679,玉泉河,117.187217,34.185992,320300,0.7142857142857144,0.0,0.0,0.14285714285714288
2199026966680,无名山公园,117.174595,34.178645,320300,0.5714285714285714,0.0,0.0,0.11428571428571428
2199026966681,浦江路,117.171734,34.171741,320300,0.4285714285714286,0.0,0.0,0.08571428571428573
2199026966682,焦山,117.16308,34.164348,320300,0.2857142857142858,0.0,0.0,0.05714285714285716
2199026966683,钱江路,117.161936,34.157629,320300,0.1428571428571428,0.0,0.0,0.02857142857142856
2199026966684,高新区南,117.160516,34.149341,320300,0.0,0.0,0.0,0.0
2199026966815,厦门火车站,118.11477,24.469123,350200,0.0,0.0,0.0,0.0
2199026966816,人才中心,118.10332,24.48925,350200,0.30000000000000004,0.0,0.0,0.06000000000000001
2199026966817,湖里公园,118.105535,24.506804,350200,0.3999999999999999,0.0,0.0,0.07999999999999999
2199026966818,华荣路,118.109292,24.51151,350200,0.5,0.0,0.0,0.1
2199026966819,小东山,118.125611,24.51405,350200,0.7,0.0,0.0,0.13999999999999999
2199026966820,安兜,118.138365,24.517859,350200,0.8,0.0,0.0,0.16000000000000003
2199026966821,坂尚,118.146829,24.519283,350200,0.8999999999999999,0.0,0.0,0.18
2199026966822,湖里创新园,118.15617,24.523253,350200,1.0,0.0,0.0,0.2
2199026966823,体育会展,118.208478,24.556406,350200,0.8,0.0,0.0,0.16000000000000003
2199026966824,东界,118.219455,24.564853,350200,0.7,0.0,0.0,0.13999999999999999
2199026966825,洪坑,118.226562,24.571439,350200,0.6000000000000001,0.0,0.0,0.12000000000000002
2199026966826,林前,118.231961,24.576046,350200,0.5,0.0,0.0,0.1
2199026966827,鼓锣,118.244159,24.57853,350200,0.3999999999999999,0.0,0.0,0.07999999999999999
2199026966828,翔安市民公园,118.253504,24.578735,350200,0.30000000000000004,0.0,0.0,0.06000000000000001
2199026966829,浦边,118.263265,24.5802,350200,0.19999999999999996,0.0,0.0,0.039999999999999994
2199026966830,后村,118.271323,24.580258,350200,0.10000000000000009,0.0,0.0,0.020000000000000018
2199026966831,蔡厝,118.279455,24.572354,350200,0.0,0.0,0.0,0.0
2199026966852,鼎美,117.974239,24.547,350200,0.19999999999999996,0.0,0.0,0.039999999999999994
2199026966897,林浦,119.365165,26.015338,350100,0.1428571428571428,0.0,0.0,0.02857142857142856
2199026966899,帝封江,119.335749,25.987443,350100,0.125,0.0,0.0,0.025
