,station_uid,line_uid,line_name,station_name,stationid,poiid,pointx,pointy,poitype,trans,color,ccode,line_start_city,line_terminal_city,line_tag,expect_open_time,line_open_status,is_updown,nearby_lines,trans_lines_detail,trans_lines_count,station_index,stations_count,platform_count_final,line_name_clean,trans_count_final,station_score,station_score_normalized,trans_lines_normalized,platform_normalized,station_score_normalized_final,trans_lines_normalized_final,platform_normalized_final,final_score
57,6211230046616621471,6059181244303640663,地铁4号线大兴线,马家堡,2199028257925,10003358585167991581,116.371351,39.853073,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,14,35,1.0,地铁4号线大兴线,1,31.0,0.7647058823529411,0.0,0.0,0.7647058823529411,0.0,0.0,0.15294117647058825
58,2733919403241920419,6059181244303640663,地铁4号线大兴线,北京南站,2199028257926,2199031506503,116.378994,39.86502,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁14号线'],1,15,35,2.0,地铁4号线大兴线,2,32.0,0.8235294117647058,0.3333333333333333,0.3333333333333333,1.5294117647058822,0.3333333333333333,0.3333333333333333,0.5725490196078431
60,9077282783942087146,6059181244303640663,地铁4号线大兴线,陶然亭,2199028257927,2199028258651,116.374396,39.878434,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,16,35,1.0,地铁4号线大兴线,1,33.0,0.8823529411764706,0.0,0.0,0.8823529411764706,0.0,0.0,0.17647058823529413
61,5439819093695253092,6059181244303640663,地铁4号线大兴线,菜市口,2199028257928,10003804872639625821,116.374454,39.88931,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁7号线'],1,17,35,1.0,地铁4号线大兴线,2,34.0,0.9411764705882353,0.3333333333333333,0.0,1.2268907563025209,0.3333333333333333,0.0,0.4453781512605042
63,18194579875765759555,6059181244303640663,地铁4号线大兴线,西单,15582873811689903103,10003927680350075581,116.37407,39.90735,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁1号线八通线'],1,19,35,1.0,地铁4号线大兴线,1,34.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.0,0.0,0.18823529411764706
64,5505354539311106403,6059181244303640663,地铁4号线大兴线,灵境胡同,6622515353753772534,2199027905896,116.373759,39.915962,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,20,35,1.0,地铁4号线大兴线,1,33.0,0.8823529411764706,0.0,0.0,0.8823529411764706,0.0,0.0,0.17647058823529413
65,9645771780258226907,6059181244303640663,地铁4号线大兴线,西四,2199028257929,10003946367436283711,116.373343,39.924186,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,21,35,1.0,地铁4号线大兴线,1,32.0,0.8235294117647058,0.0,0.0,0.8235294117647058,0.0,0.0,0.16470588235294117
66,15232755249854502985,6059181244303640663,地铁4号线大兴线,平安里,11780450752843373254,10003646994923648111,116.372883,39.933906,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁19号线']",2,22,35,3.0,地铁4号线大兴线,3,31.0,0.7647058823529411,0.6666666666666667,0.6666666666666667,2.2794117647058822,0.6666666666666667,0.6666666666666667,0.9892156862745098
69,10653498506983564406,6059181244303640663,地铁4号线大兴线,新街口,11340350433371848769,2199027905897,116.367783,39.940664,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,23,35,1.0,地铁4号线大兴线,1,30.0,0.7058823529411764,0.0,0.0,0.7058823529411764,0.0,0.0,0.1411764705882353
70,761976898034631545,6059181244303640663,地铁4号线大兴线,动物园,727683378380247365,2199027905898,116.339024,39.938275,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,25,35,1.0,地铁4号线大兴线,1,28.0,0.588235294117647,0.0,0.0,0.588235294117647,0.0,0.0,0.1176470588235294
